,station_id,station_name
0,47401,Wakkanai
1,47406,Rumoi
2,47407,Asahikawa
3,47409,Abashiri
4,47412,Sapporo
5,47413,Iwamizawa
6,47417,Obihiro
7,47418,Kushiro
8,47420,Nemuro
9,47423,Muroran
10,47426,Urakawa
11,47428,Esashi
12,47430,Hakodate
13,47433,Kutchan
14,47435,Mombetsu
15,47440,Hiroo
16,47520,Shinjo
17,47575,Aomori
18,47581,Hachinohe
19,47582,Akita
20,47584,Morioka
21,47585,Miyako
22,47587,Sakata
23,47588,Yamagata
24,47590,Sendai
25,47595,Fukushima
26,47597,Shirakawa
27,47598,Onahama
28,47600,Wajima
29,47602,Aikawa
30,47604,Niigata
31,47605,Kanazawa
32,47607,Toyama
33,47610,Nagano
34,47612,Takada
35,47615,Utsunomiya
36,47616,Fukui
37,47617,Takayama
38,47618,Matsumoto
39,47624,Maebashi
40,47626,Kumagaya
41,47629,Mito
42,47631,Tsuruga
43,47632,Gifu
44,47636,Nagoya
45,47637,Iida
46,47638,Kofu
47,47648,Choshi
48,47651,Tsu
49,47654,Hamamatsu
50,47662,Tokyo
51,47663,Owase
52,47670,Yokohama
53,47672,Tateyama
54,47675,Oshima
55,47677,Miyakejima
56,47678,Hachijojima
57,47740,Saigo
58,47741,Matsue
59,47744,Yonago
60,47746,Tottori
61,47747,Toyooka
62,47750,Maizuru
63,47755,Hamada
64,47759,Kyoto
65,47761,Hikone
66,47762,Shimonoseki
67,47765,Hiroshima
68,47768,Okayama
69,47770,Kobe
70,47772,Osaka
71,47776,Sumoto
72,47777,Wakayama
73,47778,Shionomisaki
74,47780,Nara
75,47800,Izuhara
76,47807,Fukuoka
77,47813,Saga
78,47815,Oita
79,47817,Nagasaki
80,47819,Kumamoto
81,47822,Nobeoka
82,47827,Kagoshima
83,47830,Miyazaki
84,47836,Yakushima
85,47837,Tanegashima
86,47843,Fukue
87,47887,Matsuyama
88,47891,Takamatsu
89,47892,Uwajima
90,47893,Kochi
91,47895,Tokushima
92,47909,Naze
93,47912,Yonagunijima
94,47917,Iriomotejima
95,47918,Ishigakijima
96,47927,Miyakojima
97,47929,Kumejima
98,47936,Naha
99,47940,Nago
